Run#,Date Run,Description,Raw Data,Pipeline Output in S3 bucket rd-output,MiSeq Run,latest_run
CG001Qv40Next015,2018-09-04,Rerun of MiSeq CG001Qv40Run09 DNA mixtures,180831_NB551381_0017_AH5TCMAFXY,180831_NB551381_0017_AH5TCMAFXY_version2,CG001Qv40Run09,180831_NB551381_0017_AH5TCMAFXY_version2
CG001Qv40Next016,2018-09-08,Rerun of MiSeq CG001Qv40Run10 DNA mixtures,180906_NB551381_0018_AH5T7KAFXY,180906_NB551381_0018_AH5T7KAFXY_version2,CG001Qv40Run10,180906_NB551381_0018_AH5T7KAFXY_version2
CG001Qv40Next043,2019-08-12,"CG001Qv40Run102; FIND IT v4 LOD DNA mixtures, pairs 1, 2, 3 - CG02711 (DNA-11186) in CG02640 (DNA-10414), CG02641 (DNA-10415) in CG02685 (DNA-10637), CG02697 (DNA-11179) in CG02638 (DNA-10412)",190812_NB551381_0045_AHMNNJAFXY,190812_NB551381_0045_AHMNNJAFXY_version3,CG001Qv40Run102,190812_NB551381_0045_AHMNNJAFXY_version3
CG001Qv40Next039,2019-06-27,CG001Qv40Run104; CEAP plasma (Qiagen vs Maxwell) and buffy coat matched from 1 patient; 18 JMctDNA post-op plasma samples (Batch 8 and 9),190627_NB551381_0041_AHKVT3AFXY,190627_NB551381_0041_AHKVT3AFXY_version2,CG001Qv40Run104,190627_NB551381_0041_AHKVT3AFXY_version2
CG001Qv40Next041,2019-07-31,"CG001Qv40Run107; Group of 5 McGuire FFPE, plasma, and buffy coat matched; 3 Ukraine ASK Health FFPE; Lot-to-lot validation of the new batch of FIND IT v4 primer pool using Blank, QMRS, and NF",190731_NB551381_0043_AHMMNKAFXY,190731_NB551381_0043_AHMMNKAFXY_version2,CG001Qv40Run107,190731_NB551381_0043_AHMMNKAFXY_version2
CG001Qv40Next040,2019-07-08,CG001Qv40Run108; Qiagen vs Maxwell extraction comparison of 4 Innovative Research normal human plasma and 6 Ukraine ASK Health plasma,190708_NB551381_0042_AHMMTTAFXY,190708_NB551381_0042_AHMMTTAFXY_version2,CG001Qv40Run108,190708_NB551381_0042_AHMMTTAFXY_version2
CG001Qv40Next042,2019-08-07,"CG001Qv40Run109; 19 JMctDNA pre-op and post-op plasma samples (Batch 9 and 10), 1 JMctDNA FFPE tumour (Batch 10), 1 JMctDNA buffy coat (Batch 10)",190807_NB551381_0044_AHMNYYAFXY,190807_NB551381_0044_AHMNYYAFXY,CG001Qv40Run109,190807_NB551381_0044_AHMNYYAFXY
CG001Qv40Next017,2018-09-13,Rerun of MiSeq CG001Qv40Run11 DNA mixtures,180912_NB551381_0019_AH5MLJAFXY,180912_NB551381_0019_AH5MLJAFXY_version2,CG001Qv40Run11,180912_NB551381_0019_AH5MLJAFXY_version2
CG001Qv40Next051,2019-09-16,CG001Qv40Run112redo and CG001Qv40Run113; FIND IT v4 LOD mixtures (pending),190916_NB551381_0053_AHNVKFAFXY,190916_NB551381_0053_AHNVKFAFXY_a and 190916_NB551381_0053_AHNVKFAFXY_b,CG001Qv40Run113,190916_NB551381_0053_AHNVKFAFXY_version2
CG001Qv40Next044,2019-08-14,CG001Qv40Run119; FOLLOW IT: Exactis cfDNA samples from 3 different patients with different time points. PCR cycles:28; LibCon clean-up: 0.9X; cfDNA was extracted from approximately 2.5ml plasma using the Maxwell protocol.,190814_NB551381_0046_AHMMTNAFXY,190814_NB551381_0046_AHMMTNAFXY_version3,CG001Qv40Run119,190814_NB551381_0046_AHMMTNAFXY_version3
CG001Qv40Next018,2018-09-17,Rerun of Miseq CG001Qv40Run12 DNA mixtures,180917_NB551381_0020_AH5T7LAFXY,180917_NB551381_0020_AH5T7LAFXY_version2,CG001Qv40Run12,180917_NB551381_0020_AH5T7LAFXY_version2
CG001Qv40Next046,2019-08-22,CG001Qv40Run120; FOLLOW IT: Exactis,190822_NB551381_0048_AHNWJMAFXY,190822_NB551381_0048_AHNWJMAFXY_version3,CG001Qv40Run120,190822_NB551381_0048_AHNWJMAFXY_version3
CG001Qv40Next045,2019-08-19,CG001Qv40Run121; 2 Normal human plasma from PlasmaLab (Qiagen vs Maxwell comparison); 19 Exactis plasma samples with different time points from 7 patients,190819_NB551381_0047_AHNTVYAFXY,190819_NB551381_0047_AHNTVYAFXY_version3,CG001Qv40Run121,190819_NB551381_0047_AHNTVYAFXY_version3
CG001Qv40Next047,2019-08-27,CG001Qv40Run122; FOLLOW IT: Exactis,190827_NB551381_0049_AHNW2CAFXY,190827_NB551381_0049_AHNW2CAFXY_version3,CG001Qv40Run122,190827_NB551381_0049_AHNW2CAFXY_version3
